"Plot Title: 4"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262346, SEN S/N: 2262346)","Coupler Attached (LGR S/N: 2262346)","Host Connected (LGR S/N: 2262346)","Coupler Detached (LGR S/N: 2262346)","Stopped (LGR S/N: 2262346)","End Of File (LGR S/N: 2262346)"
1,2019/11/27 12:00:00 PM,22.621,,,,,
2,2019/11/27 01:00:00 PM,22.621,,,,,
3,2019/11/27 02:00:00 PM,22.525,,,,,
4,2019/11/27 03:00:00 PM,22.621,,,,,
5,2019/11/27 04:00:00 PM,22.621,,,,,
6,2019/11/27 05:00:00 PM,22.525,,,,,
7,2019/11/27 06:00:00 PM,22.525,,,,,
8,2019/11/27 07:00:00 PM,20.043,,,,,
9,2019/11/27 08:00:00 PM,19.948,,,,,
10,2019/11/27 09:00:00 PM,16.332,,,,,
11,2019/11/27 10:00:00 PM,11.334,,,,,
12,2019/11/27 11:00:00 PM,10.553,,,,,
13,2019/11/28 12:00:00 AM,10.357,,,,,
14,2019/11/28 01:00:00 AM,10.357,,,,,
15,2019/11/28 02:00:00 AM,10.259,,,,,
16,2019/11/28 03:00:00 AM,10.259,,,,,
17,2019/11/28 04:00:00 AM,10.357,,,,,
18,2019/11/28 05:00:00 AM,10.259,,,,,
19,2019/11/28 06:00:00 AM,10.259,,,,,
20,2019/11/28 07:00:00 AM,10.357,,,,,
21,2019/11/28 08:00:00 AM,10.259,,,,,
22,2019/11/28 09:00:00 AM,14.325,,,,,
23,2019/11/28 10:00:00 AM,18.711,,,,,
24,2019/11/28 11:00:00 AM,22.429,,,,,
25,2019/11/28 12:00:00 PM,22.429,,,,,
26,2019/11/28 01:00:00 PM,22.621,,,,,
27,2019/11/28 02:00:00 PM,22.621,,,,,
28,2019/11/28 03:00:00 PM,22.621,,,,,
29,2019/11/28 04:00:00 PM,22.525,,,,,
30,2019/11/28 05:00:00 PM,22.621,,,,,
31,2019/11/28 06:00:00 PM,22.525,,,,,
32,2019/11/28 07:00:00 PM,20.043,,,,,
33,2019/11/28 08:00:00 PM,20.043,,,,,
34,2019/11/28 09:00:00 PM,16.332,,,,,
35,2019/11/28 10:00:00 PM,11.431,,,,,
36,2019/11/28 11:00:00 PM,10.455,,,,,
37,2019/11/29 12:00:00 AM,10.259,,,,,
38,2019/11/29 01:00:00 AM,10.357,,,,,
39,2019/11/29 02:00:00 AM,10.259,,,,,
40,2019/11/29 03:00:00 AM,10.259,,,,,
41,2019/11/29 04:00:00 AM,10.259,,,,,
42,2019/11/29 05:00:00 AM,10.357,,,,,
43,2019/11/29 06:00:00 AM,10.259,,,,,
44,2019/11/29 07:00:00 AM,10.259,,,,,
45,2019/11/29 08:00:00 AM,10.161,,,,,
46,2019/11/29 09:00:00 AM,14.325,,,,,
47,2019/11/29 10:00:00 AM,18.616,,,,,
48,2019/11/29 11:00:00 AM,22.333,,,,,
49,2019/11/29 12:00:00 PM,22.429,,,,,
50,2019/11/29 01:00:00 PM,22.525,,,,,
51,2019/11/29 02:00:00 PM,22.429,,,,,
52,2019/11/29 03:00:00 PM,22.429,,,,,
53,2019/11/29 04:00:00 PM,22.142,,,,,
54,2019/11/29 05:00:00 PM,22.046,,,,,
55,2019/11/29 06:00:00 PM,22.142,,,,,
56,2019/11/29 07:00:00 PM,20.043,,,,,
57,2019/11/29 08:00:00 PM,19.948,,,,,
58,2019/11/29 09:00:00 PM,16.903,,,,,
59,2019/11/29 10:00:00 PM,12.110,,,,,
60,2019/11/29 11:00:00 PM,10.748,,,,,
61,2019/11/30 12:00:00 AM,10.455,,,,,
62,2019/11/30 01:00:00 AM,10.259,,,,,
63,2019/11/30 02:00:00 AM,10.259,,,,,
64,2019/11/30 03:00:00 AM,10.161,,,,,
65,2019/11/30 04:00:00 AM,10.161,,,,,
66,2019/11/30 05:00:00 AM,10.161,,,,,
67,2019/11/30 06:00:00 AM,10.161,,,,,
68,2019/11/30 07:00:00 AM,10.161,,,,,
69,2019/11/30 08:00:00 AM,10.161,,,,,
70,2019/11/30 09:00:00 AM,13.750,,,,,
71,2019/11/30 10:00:00 AM,17.855,,,,,
72,2019/11/30 11:00:00 AM,21.760,,,,,
73,2019/11/30 12:00:00 PM,22.046,,,,,
74,2019/11/30 01:00:00 PM,22.142,,,,,
75,2019/11/30 02:00:00 PM,22.238,,,,,
76,2019/11/30 03:00:00 PM,22.142,,,,,
77,2019/11/30 04:00:00 PM,22.142,,,,,
78,2019/11/30 05:00:00 PM,22.142,,,,,
79,2019/11/30 06:00:00 PM,22.238,,,,,
80,2019/11/30 07:00:00 PM,20.043,,,,,
81,2019/11/30 08:00:00 PM,19.948,,,,,
82,2019/11/30 09:00:00 PM,16.903,,,,,
83,2019/11/30 10:00:00 PM,12.110,,,,,
84,2019/11/30 11:00:00 PM,10.748,,,,,
85,2019/12/01 12:00:00 AM,10.357,,,,,
86,2019/12/01 01:00:00 AM,10.357,,,,,
87,2019/12/01 02:00:00 AM,10.259,,,,,
88,2019/12/01 03:00:00 AM,10.161,,,,,
89,2019/12/01 04:00:00 AM,10.161,,,,,
90,2019/12/01 05:00:00 AM,10.161,,,,,
91,2019/12/01 06:00:00 AM,10.161,,,,,
92,2019/12/01 07:00:00 AM,10.161,,,,,
93,2019/12/01 08:00:00 AM,10.161,,,,,
94,2019/12/01 09:00:00 AM,13.654,,,,,
95,2019/12/01 10:00:00 AM,17.950,,,,,
96,2019/12/01 11:00:00 AM,21.760,,,,,
97,2019/12/01 12:00:00 PM,22.046,,,,,
98,2019/12/01 01:00:00 PM,22.238,,,,,
99,2019/12/01 02:00:00 PM,22.238,,,,,
100,2019/12/01 03:00:00 PM,22.238,,,,,
101,2019/12/01 04:00:00 PM,22.238,,,,,
102,2019/12/01 05:00:00 PM,22.238,,,,,
103,2019/12/01 06:00:00 PM,22.238,,,,,
104,2019/12/01 07:00:00 PM,20.043,,,,,
105,2019/12/01 08:00:00 PM,19.853,,,,,
106,2019/12/01 09:00:00 PM,16.808,,,,,
107,2019/12/01 10:00:00 PM,12.013,,,,,
108,2019/12/01 11:00:00 PM,10.748,,,,,
109,2019/12/02 12:00:00 AM,10.455,,,,,
110,2019/12/02 01:00:00 AM,10.259,,,,,
111,2019/12/02 02:00:00 AM,10.259,,,,,
112,2019/12/02 03:00:00 AM,10.259,,,,,
113,2019/12/02 04:00:00 AM,10.259,,,,,
