"Plot Title: 9"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786029, SEN S/N: 9786029)","Coupler Attached (LGR S/N: 9786029)","Host Connected (LGR S/N: 9786029)","End Of File (LGR S/N: 9786029)"
1,2019/11/27 12:00:00 PM,4.207,,,
2,2019/11/27 01:00:00 PM,4.207,,,
3,2019/11/27 02:00:00 PM,4.207,,,
4,2019/11/27 03:00:00 PM,4.207,,,
5,2019/11/27 04:00:00 PM,4.102,,,
6,2019/11/27 05:00:00 PM,4.102,,,
7,2019/11/27 06:00:00 PM,4.207,,,
8,2019/11/27 07:00:00 PM,4.102,,,
9,2019/11/27 08:00:00 PM,4.102,,,
10,2019/11/27 09:00:00 PM,4.207,,,
11,2019/11/27 10:00:00 PM,4.207,,,
12,2019/11/27 11:00:00 PM,4.102,,,
13,2019/11/28 12:00:00 AM,4.207,,,
14,2019/11/28 01:00:00 AM,4.102,,,
15,2019/11/28 02:00:00 AM,4.102,,,
16,2019/11/28 03:00:00 AM,4.102,,,
17,2019/11/28 04:00:00 AM,4.102,,,
18,2019/11/28 05:00:00 AM,4.207,,,
19,2019/11/28 06:00:00 AM,4.207,,,
20,2019/11/28 07:00:00 AM,4.102,,,
21,2019/11/28 08:00:00 AM,4.102,,,
22,2019/11/28 09:00:00 AM,4.102,,,
23,2019/11/28 10:00:00 AM,4.102,,,
24,2019/11/28 11:00:00 AM,4.102,,,
25,2019/11/28 12:00:00 PM,4.102,,,
26,2019/11/28 01:00:00 PM,4.102,,,
27,2019/11/28 02:00:00 PM,4.102,,,
28,2019/11/28 03:00:00 PM,4.102,,,
29,2019/11/28 04:00:00 PM,4.102,,,
30,2019/11/28 05:00:00 PM,4.102,,,
31,2019/11/28 06:00:00 PM,4.102,,,
32,2019/11/28 07:00:00 PM,4.102,,,
33,2019/11/28 08:00:00 PM,4.102,,,
34,2019/11/28 09:00:00 PM,4.102,,,
35,2019/11/28 10:00:00 PM,4.102,,,
36,2019/11/28 11:00:00 PM,4.207,,,
37,2019/11/29 12:00:00 AM,4.102,,,
38,2019/11/29 01:00:00 AM,4.207,,,
39,2019/11/29 02:00:00 AM,4.102,,,
40,2019/11/29 03:00:00 AM,4.102,,,
41,2019/11/29 04:00:00 AM,4.102,,,
42,2019/11/29 05:00:00 AM,4.102,,,
43,2019/11/29 06:00:00 AM,4.207,,,
44,2019/11/29 07:00:00 AM,4.102,,,
45,2019/11/29 08:00:00 AM,4.102,,,
46,2019/11/29 09:00:00 AM,4.102,,,
47,2019/11/29 10:00:00 AM,4.207,,,
48,2019/11/29 11:00:00 AM,4.102,,,
49,2019/11/29 12:00:00 PM,4.102,,,
50,2019/11/29 01:00:00 PM,4.102,,,
51,2019/11/29 02:00:00 PM,4.102,,,
52,2019/11/29 03:00:00 PM,4.102,,,
53,2019/11/29 04:00:00 PM,4.102,,,
54,2019/11/29 05:00:00 PM,4.102,,,
55,2019/11/29 06:00:00 PM,4.102,,,
56,2019/11/29 07:00:00 PM,4.102,,,
57,2019/11/29 08:00:00 PM,4.102,,,
