"Plot Title: 5"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262360, SEN S/N: 2262360)","Coupler Attached (LGR S/N: 2262360)","Host Connected (LGR S/N: 2262360)","Coupler Detached (LGR S/N: 2262360)","End Of File (LGR S/N: 2262360)"
1,2019/11/27 12:00:00 PM,16.999,,,,
2,2019/11/27 01:00:00 PM,17.094,,,,
3,2019/11/27 02:00:00 PM,17.189,,,,
4,2019/11/27 03:00:00 PM,17.094,,,,
5,2019/11/27 04:00:00 PM,17.189,,,,
6,2019/11/27 05:00:00 PM,17.189,,,,
7,2019/11/27 06:00:00 PM,17.094,,,,
8,2019/11/27 07:00:00 PM,15.664,,,,
9,2019/11/27 08:00:00 PM,15.569,,,,
10,2019/11/27 09:00:00 PM,12.110,,,,
11,2019/11/27 10:00:00 PM,7.481,,,,
12,2019/11/27 11:00:00 PM,6.268,,,,
13,2019/11/28 12:00:00 AM,5.962,,,,
14,2019/11/28 01:00:00 AM,5.860,,,,
15,2019/11/28 02:00:00 AM,5.860,,,,
16,2019/11/28 03:00:00 AM,5.757,,,,
17,2019/11/28 04:00:00 AM,5.757,,,,
18,2019/11/28 05:00:00 AM,5.757,,,,
19,2019/11/28 06:00:00 AM,5.757,,,,
20,2019/11/28 07:00:00 AM,5.860,,,,
21,2019/11/28 08:00:00 AM,5.757,,,,
22,2019/11/28 09:00:00 AM,9.472,,,,
23,2019/11/28 10:00:00 AM,13.942,,,,
24,2019/11/28 11:00:00 AM,16.713,,,,
25,2019/11/28 12:00:00 PM,16.903,,,,
26,2019/11/28 01:00:00 PM,17.094,,,,
27,2019/11/28 02:00:00 PM,17.189,,,,
28,2019/11/28 03:00:00 PM,17.189,,,,
29,2019/11/28 04:00:00 PM,17.094,,,,
30,2019/11/28 05:00:00 PM,17.189,,,,
31,2019/11/28 06:00:00 PM,16.999,,,,
32,2019/11/28 07:00:00 PM,15.664,,,,
33,2019/11/28 08:00:00 PM,15.664,,,,
34,2019/11/28 09:00:00 PM,12.110,,,,
35,2019/11/28 10:00:00 PM,7.582,,,,
36,2019/11/28 11:00:00 PM,6.268,,,,
37,2019/11/29 12:00:00 AM,5.962,,,,
38,2019/11/29 01:00:00 AM,5.860,,,,
39,2019/11/29 02:00:00 AM,5.757,,,,
40,2019/11/29 03:00:00 AM,5.757,,,,
41,2019/11/29 04:00:00 AM,5.757,,,,
42,2019/11/29 05:00:00 AM,5.757,,,,
43,2019/11/29 06:00:00 AM,5.757,,,,
44,2019/11/29 07:00:00 AM,5.757,,,,
45,2019/11/29 08:00:00 AM,5.757,,,,
46,2019/11/29 09:00:00 AM,9.373,,,,
47,2019/11/29 10:00:00 AM,13.942,,,,
48,2019/11/29 11:00:00 AM,16.713,,,,
49,2019/11/29 12:00:00 PM,16.999,,,,
50,2019/11/29 01:00:00 PM,17.094,,,,
51,2019/11/29 02:00:00 PM,16.999,,,,
52,2019/11/29 03:00:00 PM,16.903,,,,
53,2019/11/29 04:00:00 PM,16.903,,,,
54,2019/11/29 05:00:00 PM,16.903,,,,
55,2019/11/29 06:00:00 PM,16.903,,,,
56,2019/11/29 07:00:00 PM,15.473,,,,
57,2019/11/29 08:00:00 PM,15.378,,,,
58,2019/11/29 09:00:00 PM,11.625,,,,
59,2019/11/29 10:00:00 PM,6.978,,,,
60,2019/11/29 11:00:00 PM,5.860,,,,
61,2019/11/30 12:00:00 AM,5.655,,,,
62,2019/11/30 01:00:00 AM,5.552,,,,
63,2019/11/30 02:00:00 AM,5.450,,,,
64,2019/11/30 03:00:00 AM,5.450,,,,
65,2019/11/30 04:00:00 AM,5.552,,,,
66,2019/11/30 05:00:00 AM,5.450,,,,
67,2019/11/30 06:00:00 AM,5.450,,,,
68,2019/11/30 07:00:00 AM,5.552,,,,
69,2019/11/30 08:00:00 AM,5.552,,,,
70,2019/11/30 09:00:00 AM,9.275,,,,
71,2019/11/30 10:00:00 AM,14.038,,,,
72,2019/11/30 11:00:00 AM,16.523,,,,
73,2019/11/30 12:00:00 PM,16.713,,,,
74,2019/11/30 01:00:00 PM,16.713,,,,
75,2019/11/30 02:00:00 PM,16.903,,,,
76,2019/11/30 03:00:00 PM,16.903,,,,
77,2019/11/30 04:00:00 PM,16.808,,,,
78,2019/11/30 05:00:00 PM,16.808,,,,
79,2019/11/30 06:00:00 PM,16.808,,,,
80,2019/11/30 07:00:00 PM,15.473,,,,
81,2019/11/30 08:00:00 PM,15.378,,,,
82,2019/11/30 09:00:00 PM,11.722,,,,
83,2019/11/30 10:00:00 PM,7.079,,,,
84,2019/11/30 11:00:00 PM,5.860,,,,
85,2019/12/01 12:00:00 AM,5.655,,,,
86,2019/12/01 01:00:00 AM,5.552,,,,
87,2019/12/01 02:00:00 AM,5.450,,,,
88,2019/12/01 03:00:00 AM,5.450,,,,
89,2019/12/01 04:00:00 AM,5.552,,,,
90,2019/12/01 05:00:00 AM,5.450,,,,
91,2019/12/01 06:00:00 AM,5.552,,,,
92,2019/12/01 07:00:00 AM,5.450,,,,
93,2019/12/01 08:00:00 AM,5.552,,,,
94,2019/12/01 09:00:00 AM,9.275,,,,
95,2019/12/01 10:00:00 AM,13.942,,,,
96,2019/12/01 11:00:00 AM,16.523,,,,
97,2019/12/01 12:00:00 PM,16.713,,,,
98,2019/12/01 01:00:00 PM,16.808,,,,
99,2019/12/01 02:00:00 PM,16.808,,,,
100,2019/12/01 03:00:00 PM,16.903,,,,
101,2019/12/01 04:00:00 PM,16.808,,,,
102,2019/12/01 05:00:00 PM,16.808,,,,
103,2019/12/01 06:00:00 PM,16.808,,,,
104,2019/12/01 07:00:00 PM,15.569,,,,
105,2019/12/01 08:00:00 PM,15.378,,,,
106,2019/12/01 09:00:00 PM,11.625,,,,
107,2019/12/01 10:00:00 PM,6.978,,,,
108,2019/12/01 11:00:00 PM,5.860,,,,
109,2019/12/02 12:00:00 AM,5.655,,,,
