day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
23,sm,LHH,NA,8,riblac,9,100,1,7,10,3,30,1,30,NA,NA,NA,NA
23,sm,LHH,NA,8,riblac,0,100,2,7,10,3,40,1,20,NA,NA,NA,NA
23,mp,LHH,6,9,samrac,9,100,2,3,70,1,30,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,9,samrac,NA,NA,NA,3,100,NA,NA,NA,NA,NA,DEAD,NA,NA
23,mp,LHH,NA,9,sorsco,9,100,1,3,100,NA,NA,NA,NA,5,NA,NA,NA
23,mp,LHH,NA,9,vibedu,9,100,1,7,10,3,75,1,15,8,NA,NA,NA
23,sm,LHH,NA,9,poptre,1,100,1,1,40,0,60,NA,NA,8,NA,NA,NA
23,sm,LHH,NA,9,rubpar,1,100,2,1,50,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,A,9,vacmem,3,100,NA,9,20,7,10,3,50,NA,NA,NA,NA
23,sm,LHH,B,9,vacmem,7,5,NA,3,80,1,20,,,NA,NA,3,95
23,mp,LHH,NA,10,alnvir,3,100,2,7,5,3,70,1,25,13,NA,NA,NA
23,mp,LHH,NA,10,loninv,3,100,1,7,15,3,15,1,70,6,NA,NA,NA
23,mp,LHH,NA,10,menfer,1,25,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,10,spipyr,7,100,NA,10,10,9,10,7,10,NA,NA,NA,NA
23,sm,LHH,NA,10,riblac,9,100,1,10,25,3,70,0,5,NA,NA,NA,NA
23,sm,LHH,NA,10,rupar,0,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,10,symalb,NA,NA,NA,3,30,1,70,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,10,symalb,NA,NA,NA,3,60,1,20,0,20,NA,NA,NA,NA
23,mp,LHH,NA,11,acegla,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,11,alninc,3,100,3,3,60,1,25,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,11,amealn,7,100,2,3,70,1,30,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,11,vacmem,11,20,13,11,20,7,50,3,40,NA,NA,10,20
23,sm,LHH,NA,11,rubpar,3,100,1,7,75,3,25,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,11,spipyr,9,100,1,3,100,NA,NA,NA,NA,10,NA,NA,NA
23,sm,LHH, oc21,11,vacmem,3,100,NA,11,30,10,30,9,15,NA,NA,1,20
23,mp,LHH,Feg,12,poptre,0,100,2,0,100,NA,NA,NA,NA,18,NA,NA,NA
23,mp,LHH,Bsf,12,riblac,3,100,14,7,20,3,70,1,10,NA,NA,NA,NA
23,mp,LHH,14,12,sorsco,9,75,4,1,100,NA,NA,NA,NA,NA,NA,1,50
23,mp,LHH,2,12,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,12,corsto,15,100,1,11,30,9,15,7,30,7,NA,NA,NA
23,sm,LHH,NA,12,loninv,9,15,6,7,15,3,30,1,55,23,NA,7,30
23,sm,LHH,NA,12,poptre,1,50,11,1,100,NA,NA,NA,NA,5,NA,0,50
23,sm,LHH,NA,12,symalb,NA,NA,NA,3,70,1,30,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,13,alninc,3,100,2,1,50,0,50,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,13,loninv,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,13,popbal,3,100,1,7,15,3,15,1,70,NA,NA,NA,NA
23,mp,LHH,NA,13,vacmem,3,100,12,9,15,3,90,1,10,NA,NA,NA,NA
23,sm,LHH,NA,13,alnvir,0,100,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,13,corsto,7,100,1,7,45,1,45,0,5,NA,NA,NA,NA
23,sm,LHH,NA,13,rubpar,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,14,rhoalb,10,100,4,7,20,3,80,NA,NA,6,NA,NA,NA
23,mp,LHH,NA,14,sorsco,9,100,1,10,25,7,25,1,50,8,NA,NA,NA
23,mp,LHH,NA,14,symalb,NA,NA,NA,7,80,3,20,NA,NA,17,NA,NA,NA
23,mp,LHH,NA,14,vibedu,7,100,1,7,10,3,70,0,20,6,NA,NA,NA
23,sm,LHH,10,14,acegla,7,70,3,3,80,1,20,NA,NA,13,NA,NA,NA
23,sm,LHH,4,14,alninc,NA,NA,NA,7,30,3,60,NA,NA,4,NA,NA,NA
23,sm,LHH,3,14,popbal,10,100,1,9,40,3,40,1,20,NA,NA,NA,NA
23,mp,LHH,NA,15,amealn,3,100,1,3,20,1,60,0,20,NA,NA,NA,NA
23,mp,LHH,NA,15,menfer,1,20,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,15,rhoalb,9,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,15,samrac,1,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,15,menfer,7,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,15,rubpar,1,100,2,1,90,0,10,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,15,shecan,9,50,2,10,70,3,30,NA,NA,NA,y,3,50
23,sm,LHH,NA,15,spipyr,3,100,NA,11,15,10,15,9,20,9,NA,NA,NA
23,mp,LHH,8,16,corsto,11,100,1,11,65,9,35,,,6,NA,NA,NA
23,mp,LHH,3,16,rhoalb,10,100,3,3,70,1,30,NA,13,NA,NA,NA,NA
23,mp,LHH,8,16,riblac,9,20,5,7,20,3,60,1,10,NA,NA,7,40
23,mp,LHH,tml,16,spibet,7,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,2,16,alninc,3,100,3,3,35,1,20,0,45,NA,NA,NA,NA
23,sm,LHH,10,16,alnvir,1,100,2,1,55,0,45,NA,NA,7,NA,NA,NA
23,sm,LHH,11,16,corsto,15,100,1,15,50,9,25,9,25,NA,NA,NA,NA
23,sm,LHH, oc21,16,vacmem,11,40,NA,10,20,9,20,7,15,NA,NA,9,60
23,mp,LHH,bLL,17,alninc,3,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA
23,mp,LHH,7,17,amealn,9,15,7,7,15,3,15,1,55,46,NA,3,15
23,mp,LHH,14,17,sorsco,7,100,1,7,50,1,50,NA,NA,NA,NA,NA,NA
23,mp,LHH,10,17,vibedu,11,65,3,3,95,1,5,NA,NA,14,NA,3,35
23,sm,LHH,8,17,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,17,sorsco,7,100,2,7,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,17,spibet,1,100,1,15,25,9,25,7,50,NA,NA,NA,NA
23,sm,LHH,NA,17,symalb,NA,NA,NA,3,30,1,40,0,30,NA,NA,NA,NA
23,sm,LHH,3,17,vibedu,15,100,2,15,15,10,15,7,45,13,NA,NA,NA
23,mp,LHH,NA,18,loninv,3,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,18,riblac,7,100,2,7,30,3,60,1,10,NA,NA,NA,NA
23,mp,LHH,branched,18,spipyr,10,100,NA,9,20,7,40,3,30,NA,NA,NA,NA
23,mp,LHH,NA,18,spipyr,7,100,1,10,25,9,25,1,50,NA,NA,NA,NA
23,sm,LHH,NA,18,amealn,NA,NA,NA,7,10,3,40,1,50,NA,NA,NA,NA
23,sm,LHH,NA,18,loninv,3,100,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,added one,18,sorsco,7,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,18,sorsco,10,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,18,symalb,NA,NA,NA,0,100,2,0,100,NA,NA,NA,NA,NA
23,mp,LHH,NA,19,acegla,3,100,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,5,19,alnvir,3,100,2,3,75,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,7,19,alnvir,3,100,4,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,19,samrac,1,50,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,19,acegla,3,100,1,3,70,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,19,poptre,1,100,6,1,80,0,20,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,19,riblac,3,30,9,3,20,1,50,0,30,NA,NA,1,70
23,sm,LHH,NA,19,sorsco,0,100,1,10,33,1,33,0,33,NA,NA,NA,NA
23,sm,LHH,NA,19,spibet,11,25,4,10,20,9,20,7,40,NA,NA,7,75
23,mp,LHH,NA,20,acegla,1,80,10,1,50,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,20,poptre,1,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,20,rhoalb,10,25,4,7,20,3,50,1,30,9,NA,10,50
23,mp,LHH,NA,20,riblac,7,30,7,10,5,7,30,3,65,NA,NA,NA,NA
23,mp,LHH,NA,20,sorsco,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,20,spibet,0,100,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,20,symalb,NA,NA,NA,1,30,0,70,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,20,vacmem,3,80,12,3,30,1,30,0,40,NA,NA,NA,NA
23,sm,LHH,NA,20,alnvir,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,20,betpap,7,70,3,3,75,0,25,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,20,rubpar,1,100,1,1,25,0,751,NA,NA,NA,NA,NA,NA
23,mp,LHH,4,21,acegla,1,100,3,1,50,0,50,NA,NA,14,NA,NA,NA
23,mp,LHH,7,21,menfer,3,25,12,7,50,3,50,NA,NA,NA,NA,3,75
23,mp,LHH,11,21,rhoalb,10,100,6,7,50,3,20,1,20,18,NA,NA,NA
23,mp,LHH,NA,21,spipyr,9,100,1,15,50,7,25,3,25,NA,NA,NA,NA
23,sm,LHH,NA,21,alninc,3,50,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,7,21,amealn,10,100,1,10,40,9,45,1,15,7,NA,NA,NA
23,sm,LHH,NA,21,amealn,9,100,1,9,100,NA,NA,NA,NA,7,NA,NA,NA
23,sm,LHH,NA,21,menfer,1,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,22,acegla,3,100,1,3,90,1,10,NA,NA,NA,NA,NA,NA
23,mp,LHH,9,22,alninc,3,100,1,1,30,0,70,NA,NA,10,NA,NA,NA
23,mp,LHH,10,22,alninc,9,100,1,9,70,3,40,0,40,7,NA,NA,NA
23,mp,LHH,10,22,spibet,11,100,1,7,70,3,30,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,22,corsto,15,100,1,11,20,10,60,7,20,8,NA,NA,NA
23,sm,LHH,NA,22,riblac,3,100,1,11,10,10,10,7,10,NA,NA,NA,NA
23,sm,LHH,NA,22,shecan,10,100,1,9,20,7,30,3,50,NA,NA,NA,NA
23,sm,LHH,NA,22,spibet,11,20,5,11,20,10,40,7,20,NA,NA,10,40
23,sm,LHH,NA,22,spipyr,1,100,1,9,10,3,80,1,20,NA,NA,NA,NA
23,mp,LHH,NA,23,alnvir,3,50,2,3,40,1,40,0,20,5,NA,NA,NA
23,mp,LHH,NA,23,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,23,rhoalb,10,75,4,7,10,3,50,1,25,NA,NA,7,25
23,mp,LHH,NA,23,vacmem,3,100,NA,3,50,1,30,0,20,NA,NA,NA,NA
23,sm,LHH,NA,23,alnvir,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,23,betpap,9,100,1,9,80,3,20,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,23,menfer,1,30,7,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,5,24,poptre,1,100,2,1,100,NA,NA,NA,NA,2,NA,NA,NA
23,mp,LHH,13,24,sorsco,10,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,9,24,symalb,NA,NA,NA,1,20,0,80,NA,NA,NA,NA,NA,NA
23,mp,LHH,wjt,24,vacmem,3,100,NA,9,15,3,80,1,20,NA,NA,0,80
23,sm,LHH,NA,24,acegla,3,100,2,3,50,1,40,0,10,NA,NA,NA,NA
23,sm,LHH,19,24,alnvir,3,100,1,3,65,1,35,NA,NA,14,NA,NA,NA
23,sm,LHH,11,24,loninv,11,100,1,7,15,3,65,1,10,12,NA,NA,NA
23,sm,LHH,NA,24,sorsco,10,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,25,alninc,1,100,1,0,100,NA,NA,NA,NA,6,NA,NA,NA
23,mp,LHH,NA,25,amealn,9,100,4,9,25,7,40,3,35,42,NA,7,25
23,mp,LHH,NA,25,corsto,11,100,1,10,20,7,20,3,40,NA,NA,NA,NA
23,mp,LHH,NA,25,symalb,NA,NA,NA,1,80,0,20,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,25,poptre,3,100,4,1,60,0,40,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,25,shecan,7,70,3,7,10,3,80,1,10,60,NA,NA,NA
23,sm,LHH,NA,25,spipyr,10,100,2,10,20,7,20,3,60,NA,NA,NA,NA
23,sm,LHH,NA,25,symalb,NA,NA,NA,3,10,1,50,0,40,NA,NA,NA,NA
23,mp,LHH,NA,26,acegla,7,20,5,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,26,alnvir,3,100,2,3,60,1,20,0,20,9,2 branches,NA,NA
23,mp,LHH,A,26,vibedu,9,100,1,3,100,NA,NA,NA,NA,6,NA,NA,NA
23,mp,LHH,NA,26,vibedu,10,100,1,3,100,NA,NA,NA,NA,4,NA,NA,NA
23,sm,LHH,2,26,acegla,1,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA
23,sm,LHH,9,26,acegla,7,100,2,7,15,3,45,1,20,23,NA,NA,NA
23,sm,LHH,11,26,loninv,3,100,1,15,15,10,15,7,25,13,NA,NA,NA
23,sm,LHH, D,26,popre,1,100,6,1,1,20,0,80,NA,46,NA,NA,NA
23,mp,LHH,NA,27,alninc,7,35,3,3,25,1,75,NA,NA,13,NA,NA,NA
23,mp,LHH,NA,27,amealn,7,100,1,10,5,7,30,3,40,27,NA,NA,NA
23,mp,LHH,NA,27,samrac,1,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,27,spibet,7,100,1,7,10,3,30,1,60,12,NA,NA,NA
23,sm,LHH,NA,27,alninc,3,100,1,1,40,0,60,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,27,poptre,15,20,5,7,30,3,40,1,30,18,NA,9,60
23,sm,LHH,NA,27,symalb,NA,NA,NA,7,20,3,60,1,20,NA,NA,NA,NA
23,mp,LHH,NA,28,acegla,3,100,1,3,100,NA,NA,NA,NA,9,NA,NA,NA
23,mp,LHH,NA,28,corsto,15,100,2,15,30,1,40,NA,NA,10,NA,NA,NA
23,mp,LHH,NA,28,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,28,vacmem,15,40,NA,11,15,10,40,3,70,NA,y,10,50
23,sm,LHH,NA,28,acegla,1,100,1,1,60,0,40,NA,NA,10,NA,NA,NA
23,sm,LHH,NA,28,alninc,1,100,1,1,100,NA,NA,NA,NA,5,NA,NA,NA
23,sm,LHH,19,28,alnvir,3,100,3,3,65,1,35,NA,NA,14,NA,NA,NA
23,sm,LHH,NA,28,poptre,1,100,1,1,80,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,29,rubpar,7,100,1,7,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,9,29,shecan,3,100,2,7,20,3,70,1,10,60,NA,NA,NA
23,mp,LHH,NA,29,shecan,7,100,4,9,30,7,20,3,40,60,NA,NA,NA
23,mp,LHH,NA,29,symalb,NA,NA,NA,1,50,0,50,NA,NA,NA,NA,NA,NA
23,sm,LHH,7,29,shecan,3,100,2,9,30,7,30,3,40,NA,y,NA,NA
23,sm,LHH,NA,29,shecan,7,100,1,9,70,7,20,3,10,NA,NA,NA,NA
23,sm,LHH,NA,29,spipyr,11,100,1,9,10,3,90,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,30,rubpar,7,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,30,samrac,11,50,2,7,100,NA,NA,NA,NA,NA,NA,9,50
23,mp,LHH,A-tape,30,symalb,NA,NA,NA,3,50,1,50,,,NA,NA,NA,NA
23,mp,LHH,NA,30,symalb,NA,NA,NA,7,10,3,50,1,20,NA,NA,NA,NA
23,sm,LHH,NA,30,popbal,1,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,30,rubpar,11,NA,1,9,25,3,75,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,30,spipyr,1,100,1,7,10,1,40,0,50,22,NA,NA,NA
23,sm,LHH,NA,30,vacmem,3,100,NA,10,5,9,20,3,40,NA,NA,NA,NA
23,mp,LHH,NA,31,corsto,10,100,1,7,25,3,35,1,50,8,NA,NA,NA
23,mp,LHH,NA,31,riblac,7,100,4,7,20,3,70,1,10,36,NA,NA,NA
23,mp,LHH,A,31,vacmem,10,30,NA,9,30,7,10,3,60,NA,NA,7,20
23,mp,LHH,B,31,vacmem,1,80,1,20,0,80,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,31,alninc,3,100,3,1,50,0,50,NA,NA,8,NA,NA,NA
23,sm,LHH,NA,31,amealn,11,100,1,11,10,9,20,7,55,9,NA,NA,NA
23,sm,LHH,NA,31,betpap,3,100,1,3,90,0,10,NA,NA,8,NA,NA,NA
23,sm,LHH,NA,31,loninv,1,100,3,1,60,0,40,NA,NA,14,NA,NA,NA
23,mp,LHH,NA,32,alninc,3,100,1,3,10,1,60,0,30,10,NA,NA,NA
23,mp,LHH,NA,32,poptre,1,100,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
23,mp,LHH,NA,32,sorsco,10,100,1,1,100,,,NA,NA,3,NA,NA,NA
23,mp,LHH,A,32,spibet,3,100,3,3,50,1,30,0,20,10,NA,NA,NA
23,mp,LHH,B,32,spibet,1,100,6,7,30,1,20,0,50,51,NA,NA,NA
23,sm,LHH,NA,32,alnvir,3,100,6,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,32,betpap,9,100,2,7,50,3,35,1,15,NA,NA,NA,NA
23,sm,LHH,NA,32,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,32,rubpar ,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,33,amealn,7,100,1,7,50,3,50,NA,NA,17,NA,NA,NA
23,mp,LHH,NA,33,menfer,1,100,4,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,33,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,33,vacmem,11,10,NA,10,10,9,30,1,45,NA,NA,9,30
23,sm,LHH,13,33,acegla,1,100,4,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH, b12,33,spipyr,10,100,1,9,25,7,25,3,50,NA,NA,NA,NA
23,sm,LHH,4,33,vibedu,15,100,1,15,20,11,20,7,10,10,NA,NA,NA
23,sm,LHH,extra- branched,33,vibedu,11,60,5,11,50,3,50,NA,NA,2,NA,10,20
23,mp,LHH,NA,34,menfer,1,100,10,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,34,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,34,rubpar,1,100,1,3,25,1,75,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,34,shecan,3,100,2,7,20,3,20,1,60,NA,NA,NA,NA
23,sm,LHH,NA,34,alninc,1,100,1,0,100,NA,NA,NA,NA,8,NA,NA,NA
23,sm,LHH,NA,34,amealn,7,100,3,7,40,3,40,1,20,13,NA,NA,NA
23,sm,LHH,NA,34,riblac,3,100,1,3,20,1,45,0,35,16,NA,NA,NA
23,sm,LHH,NA,34,vibedu,15,50,2,11,30,10,5,9,5,17,NA,11,50
23,mp,LHH,NA,35,loninv,3,100,1,3,25,1,75,NA,NA,8,NA,NA,NA
23,mp,LHH,NA,35,popbal,9,100,1,1,80,0,20,NA,NA,NA,NA,NA,NA
